0,1.0642,0.109153,1.12178,0.137024,0.0286595,-2.76645,-0.145891,-0.582753,2.2637,0.36978,-0.439937,3.50068,-0.884486,-1.08234,-3.27061,3.13762,0.395701,3.74321,2.97948,-0.404016,0.265136,2.81729,-2.84519,-2.84012,0.90232,3.6644,4.69301,-1.3388,3.61763,-2.38189,7.16868,-2.89734,-0.0605239,5.76993,0.418904,-0.382269,0.0198815
0.00666667,1.06316,0.109564,1.12172,0.13827,0.0292263,-2.76636,-0.14222,-0.581067,2.26328,0.371203,-0.439727,3.4979,-0.882718,-1.08235,-3.27048,3.13657,0.395776,3.74434,2.9786,-0.402328,0.266321,2.81863,-2.84476,-2.84162,0.898601,3.6657,4.6943,1.80465,-0.476939,-5.52687,7.17381,-2.8958,-0.0612284,5.76679,0.421283,-0.382557,0.0183732
0.0133333,1.06274,0.110775,1.12026,0.145153,0.0288926,-2.76314,-0.136188,-0.584557,2.26053,0.378946,-0.446901,3.49432,-0.884436,-1.08847,-3.26995,3.13153,0.393391,3.74557,2.97448,-0.405324,0.2778,2.85231,-2.87402,-2.84581,0.898841,3.67117,1.47981,1.80324,-0.535905,-5.52005,5.37822,0.336094,-0.046584,5.78614,0.401846,-0.408184,-0.0240261
0.02,1.06173,0.111159,1.12035,0.146382,0.0294528,-2.76366,-0.132461,-0.583112,2.26097,0.380224,-0.446555,3.49164,-0.883001,-1.08838,-3.2687,3.12992,0.393451,3.74739,2.97521,-0.403581,0.278695,2.85366,-2.8732,-2.8471,0.894971,3.67424,1.48017,4.94629,3.67741,-8.66347,5.37398,-5.9447,-0.0474139,5.78175,3.54586,-2.73323,3.11712
0.0266667,1.06073,0.111572,1.12054,0.147708,0.0297875,-2.76405,-0.128809,-0.581875,2.26163,0.381811,-0.445889,3.49023,-0.881335,-1.08792,-3.26736,3.12845,0.393346,3.74672,2.97447,-0.402537,0.279464,2.85502,-2.87233,-2.8484,0.891684,3.67698,1.48082,8.08923,-0.535603,-11.8072,5.36893,0.339189,6.23453,5.77819,3.54814,-2.73326,3.11581
0.0333333,1.05976,0.111931,1.12079,0.149042,0.0299211,-2.76463,-0.125416,-0.580771,2.26257,0.383254,-0.445186,3.48909,-0.879587,-1.08733,-3.26705,3.12815,0.393364,3.74655,2.97429,-0.40197,0.28011,2.85702,-2.87159,-2.84959,7.17137,3.67967,-4.80277,8.09043,-0.536234,-11.8094,5.36453,-5.94422,-0.049715,5.77665,3.55031,-2.73294,3.11405
0.04,1.05883,0.112287,1.1211,0.150326,0.0298228,-2.76483,-0.122589,-0.579881,2.2634,0.38446,-0.44468,3.48838,-0.877876,-1.08673,-3.26722,3.12801,0.393368,3.74586,2.97375,-0.401097,0.280137,2.85871,-2.87066,-2.85034,13.4519,3.68215,-4.8016,8.09202,-0.536981,-11.8093,-0.92425,-5.94364,-0.050155,5.77343,0.41076,-0.408762,-0.029318
0.0466667,1.0573,0.111787,1.12298,0.145876,0.0305672,-2.76863,-0.122415,-0.573969,2.2673,0.379324,-0.435789,3.48973,-0.872979,-1.07919,-3.26605,3.13102,0.395971,3.74381,2.97569,-0.396887,0.270006,2.82915,-2.84034,-2.84796,10.3036,5.74767,-4.72549,4.95501,3.622,-8.67795,0.920589,-2.89218,-0.0661714,-0.534646,0.434683,-0.384131,0.00928898
0.0533333,1.04579,0.118101,1.11661,0.161593,-0.0711277,-2.77383,-0.133461,-0.687389,2.30162,0.399948,-0.513934,3.55559,-0.901207,-1.08678,-3.29942,3.08394,0.371146,3.76189,2.97498,-0.42651,0.318632,-0.271847,-0.260833,-0.120644,13.6022,9.88304,-7.41903,4.75594,3.68841,-8.99773,1.06225,3.16524,6.14122,-0.556536,3.51223,-3.01696,2.95968
0.06,1.05552,0.112292,1.12402,0.14755,0.0295309,-2.76869,-0.119172,-0.572888,2.27069,0.380071,-0.433765,3.4915,-0.869863,-1.0766,-3.2666,3.13113,0.395286,3.74216,2.97499,-0.395909,0.269289,2.83295,-2.83812,-2.84859,7.15713,3.68022,-14.1483,1.81545,5.8003,-11.8174,0.931451,-2.89307,-0.0671226,-0.536914,0.436958,-0.384823,0.00481706
